name,register_number,roll_number,department,year,section
Aarav Sharma,REG2026001,26AI001,Artificial Intelligence & Data Science,2,A
Aditi Verma,REG2026002,26AI002,Artificial Intelligence & Data Science,2,A
Ananya Iyer,REG2026003,26AI003,Artificial Intelligence & Data Science,2,A
Arjun Patel,REG2026004,26AI004,Artificial Intelligence & Data Science,2,A
Bhavna Reddy,REG2026005,26AI005,Artificial Intelligence & Data Science,2,A
Chetan Nair,REG2026006,26AI006,Artificial Intelligence & Data Science,2,A
Deepak Gupta,REG2026007,26AI007,Artificial Intelligence & Data Science,2,A
Divya Menon,REG2026008,26AI008,Artificial Intelligence & Data Science,2,A
Eashan Kulkarni,REG2026009,26AI009,Artificial Intelligence & Data Science,2,A
Farhan Khan,REG2026010,26AI010,Artificial Intelligence & Data Science,2,B
Gautam Singhania,REG2026011,26AI011,Artificial Intelligence & Data Science,2,B
Harini Krishnan,REG2026012,26AI012,Artificial Intelligence & Data Science,2,B
Ishaan Joshi,REG2026013,26AI013,Artificial Intelligence & Data Science,2,B
Janani Sundaram,REG2026014,26AI014,Artificial Intelligence & Data Science,2,B
Karthik Subramanian,REG2026015,26AI015,Artificial Intelligence & Data Science,2,B
Lavanya Chandran,REG2026016,26AI016,Artificial Intelligence & Data Science,2,B
Madhav Nambiar,REG2026017,26AI017,Artificial Intelligence & Data Science,2,B
Naveen Raghavan,REG2026018,26AI018,Artificial Intelligence & Data Science,2,B
Pallavi Deshmukh,REG2026019,26AI019,Artificial Intelligence & Data Science,2,B
Pranav Mukhopadhyay,REG2026020,26CS001,Computer Science & Engineering,3,A
Rahul Balasubramanian,REG2026021,26CS002,Computer Science & Engineering,3,A
Rhea Sengupta,REG2026022,26CS003,Computer Science & Engineering,3,A
Rohit Malhotra,REG2026023,26CS004,Computer Science & Engineering,3,A
Sakshi Agarwal,REG2026024,26CS005,Computer Science & Engineering,3,A
Sanjay Venkataraman,REG2026025,26CS006,Computer Science & Engineering,3,A
Sneha Pillai,REG2026026,26CS007,Computer Science & Engineering,3,A
Surya Narayanan,REG2026027,26CS008,Computer Science & Engineering,3,A
Tanvi Rao,REG2026028,26CS009,Computer Science & Engineering,3,A
Varun Hegde,REG2026029,26CS010,Computer Science & Engineering,3,A
Yashwant Choudhury,REG2026030,26IT001,Information Technology,3,B
